roi_index,sub,exp,alpha_M,R_M,D_M,rho_center,D_participation_ratio,D_explained_variance,D_feature
2,21,False,1.0196718343186735,0.8416076510848374,0.8227622043660221,0.12843728316457648,22.936912536621094,29,2310
3,21,False,0.9601282718422853,0.972564631042537,0.8130109986308198,0.12888452630293998,15.861815452575684,28,957
4,21,False,1.0396779081535812,0.8991819808752858,0.8150376509550137,0.09510869477924548,28.587879180908203,30,1281
5,21,False,1.0115084708344393,0.9046602881602652,0.8099862244884897,0.11019379465203537,23.180631637573242,30,1171
6,21,False,1.043235038827409,0.9664321584366464,0.8051867567013751,0.07636030096756785,28.688570022583008,31,3535
7,21,False,1.0151678310978542,0.968162108664665,0.7886674856663665,0.07511591660348993,31.94900131225586,31,2784
8,21,False,0.9243742431646516,0.9531619218639177,0.8444426155937063,0.08023454766524465,30.389156341552734,31,2121
9,21,False,0.9890393294014705,0.9547825202600541,0.8284373991732001,0.1001983642578125,24.972476959228516,30,881
10,21,False,0.9971638897096801,0.9643082804061232,0.8104078715217538,0.09839047883686267,22.768617630004883,29,1017
11,21,False,1.0001898312171285,0.9630924770008876,0.8199090883063296,0.07227786214728105,29.458093643188477,31,2374
12,21,False,0.9835800338515167,0.9860811802737246,0.8411250498043472,0.10094558314273232,21.761112213134766,30,2425
13,21,False,0.996906200613728,0.94792241951103,0.8109715562422435,0.06704409749884355,32.17578125,31,2253
14,21,False,0.9632272791412051,0.9621503172663177,0.7972984850364806,0.07267038445723684,31.619863510131836,31,3883
15,21,False,0.9621972884795492,0.9483327082954369,0.8141343965753414,0.10127264323987459,19.676197052001953,29,1177
16,21,False,0.9573960326318532,0.9938847775224208,0.8022117854624173,0.11343822479248047,20.130130767822266,30,2357
17,21,False,1.041264249929159,0.9724712725971191,0.7998251312630075,0.10865757590846012,23.119386672973633,30,4020
18,21,False,1.0107319572700268,0.944543980431208,0.8379192160260027,0.09388876463237562,28.16691017150879,31,2904
19,21,False,0.9589141593322817,0.9791330720771849,0.8166111755837866,0.10023356989810342,19.413562774658203,30,3804
20,21,False,0.9745671977081392,0.963072951552007,0.7913687429021975,0.07955942655864515,29.387706756591797,31,2086
21,21,False,1.005034684389174,1.004269231076381,0.8017335838262069,0.08958073666221217,26.182371139526367,31,2501
22,21,False,0.9659052213098445,0.9823077021148154,0.8066661082391011,0.08233738949424342,29.019996643066406,31,5647
1,25,False,1.0061581735411833,0.8689368303889158,0.8107629080696561,0.10835583335474917,25.170446395874023,30,1677
2,25,False,1.018755705442535,0.9131615972949898,0.8156348540469155,0.11894420824552837,24.926246643066406,30,2539
3,25,False,0.9851117351058786,0.9420365130306048,0.7988487031022188,0.1210217927631579,22.255292892456055,29,979
4,25,False,1.02497913495072,0.9227355905494192,0.8181849953757997,0.08244831687525699,29.66618537902832,31,1346
5,25,False,0.9869029990302732,0.9633790933686894,0.8047935753354578,0.10688523744281969,20.796857833862305,30,1238
6,25,False,0.9689758474133792,0.9915958960959251,0.8276414642768876,0.0994259282162315,25.086605072021484,30,3626
7,25,False,0.9380195553501127,0.962823072628661,0.855005235685861,0.07181497875012849,31.820894241333008,31,2786
8,25,False,0.9865747499017361,0.9576112269252913,0.801484460089179,0.10325777154219778,24.128074645996094,30,2181
9,25,False,0.9907361837034884,0.976866404093818,0.7922678355482111,0.09770367271021793,25.0809268951416,29,896
10,25,False,0.960623071258333,1.0019907968328123,0.8253301527888519,0.10114125703510485,23.357271194458008,29,1006
11,25,False,0.9565851210535208,1.007260661285545,0.804647004739565,0.12267508255807977,18.57697868347168,30,2246
12,25,False,0.9579414545563119,1.0258376321270064,0.7990594733426171,0.13985286511872944,16.934377670288086,29,2429
13,25,False,0.9669051638044772,0.9426307678949566,0.8028876744183396,0.07996657522101151,29.875680923461914,31,2218
14,25,False,0.9458991665326393,0.9636346093632857,0.8027097068647308,0.09447161021985506,22.147008895874023,30,3408
15,25,False,1.0437134532572347,0.9446064218240586,0.7938821772527505,0.0895903938695004,26.48626136779785,29,1190
16,25,False,0.9892484296495284,0.9332830557909801,0.811507245221818,0.10144249765496505,27.52225685119629,31,2499
17,25,False,0.9982197798986083,0.9481871803093362,0.817002038469979,0.07722219166002775,29.205062866210938,31,4205
18,25,False,0.9663005271987023,0.9384035494939906,0.8079568804101778,0.07609979729903371,30.130041122436523,31,2902
19,25,False,0.9800131133282547,0.9558549838662662,0.8546182946616506,0.0868664590935958,28.252437591552734,31,4016
20,25,False,1.0027323606585457,0.9702936040601864,0.818053310764886,0.07608162729363692,30.291521072387695,30,2100
21,25,False,1.0308771337409883,0.9385317447095266,0.8042198712767862,0.0741808439555921,31.180570602416992,31,2532
22,25,False,1.0164989050484328,0.9244228502213824,0.8035146442121996,0.07832579361765009,30.979076385498047,31,5608
1,26,False,1.0138879367170477,0.9463860685952092,0.8032075767470112,0.0988675970780222,22.699296951293945,29,1486
2,26,False,1.0332966097541112,0.8743803810147514,0.8046842198644508,0.09191946732370478,27.167156219482422,30,2324
3,26,False,0.9744263925326525,0.9958533895775078,0.8092405722592696,0.11885691191020765,23.111486434936523,29,946
4,26,False,0.9440192871120346,0.9531150205772091,0.8212025117943049,0.0818906583284077,30.02065658569336,30,1349
5,26,False,0.9818077965950117,0.9345640503648258,0.817112402990791,0.09497380507619757,29.085153579711914,30,1178
6,26,False,1.0146069435729022,0.9412160486075459,0.7975350638861638,0.07476405093544408,31.936983108520508,31,3612
7,26,False,0.9505877581157374,0.9372135259419767,0.8298632983486787,0.07858509264494243,31.719940185546875,31,2785
8,26,False,0.96942538780725,0.9389280731223817,0.8189574909696287,0.07682734037700452,31.612300872802734,31,2177
9,26,False,0.9449873151589478,1.013174134381519,0.8140955836522619,0.12891476279810854,18.312448501586914,29,877
10,26,False,0.995447374506037,1.0030069656345606,0.8266434354661818,0.13666646857010692,16.9157772064209,28,1016
